entity,dateOfBirth,nationality,almaMater,awards,workPlaces
George Chaldakov,['1940-02-23'],"['Burgas', 'Bulgaria', 'MD', 'Varna', 'Bulgaria', 'Bulgaria', 'Bulgaria']","['Cell Biology', 'the Bulgarian Society for Cell Biology', 'Varna Institute of Medicine', 'Medical University of Varna', 'Vascular Biology', 'Medical University of Varna', 'Biomedical Reviews', 'An International Journal of Cell Biology of Disease', 'Annual Program of Continuing Medical Education', 'Medical University of Varna']",[],"['Cell Biology', 'the Bulgarian Society for Cell Biology', 'Varna Institute of Medicine', 'Medical University of Varna', 'Vascular Biology', 'Medical University of Varna', 'Biomedical Reviews', 'An International Journal of Cell Biology of Disease', 'Annual Program of Continuing Medical Education', 'Medical University of Varna']"
Paul Dirac,['1902-08-08'],[],"['quantum electrodynamics', 'the University of Cambridge', 'the Center for Theoretical Studies', 'University of Miami', 'Florida State University', 'Dirac']",[],"['quantum electrodynamics', 'the University of Cambridge', 'the Center for Theoretical Studies', 'University of Miami', 'Florida State University', 'Dirac']"
Sow-Hsin Chen,[],[],"['Massachusetts Institute of Technology', 'MIT']",[],"['Massachusetts Institute of Technology', 'MIT']"
Hyeon Taeghwan,['1964-12-09'],[],"['Taeghwan Hyeon', 'the School of Chemical', 'Seoul National University', 'the National Creative Research Initiative Center for Oxide Nanocrystalline Materials', 'Nanoparticle Research of Institute for Basic Science', 'University Distinguished', 'the Journal of the American Chemical Society']",[],"['Taeghwan Hyeon', 'the School of Chemical', 'Seoul National University', 'the National Creative Research Initiative Center for Oxide Nanocrystalline Materials', 'Nanoparticle Research of Institute for Basic Science', 'University Distinguished', 'the Journal of the American Chemical Society']"
Sanjeev Arora,['1968-01-30'],['B.S.'],"['PCP', 'Princeton University', 'NP', 'MIT', 'the University of California, Berkeley', 'IIT JEE', 'MIT', 'IIT', 'the Institute for Advanced Study', 'the ACM Doctoral Dissertation Award', 'the ACM Infosys Foundation Award', 'Computer Science', 'the Executive Board', ""Princeton's Center for Computational Intractability""]",[],"['PCP', 'Princeton University', 'NP', 'MIT', 'the University of California, Berkeley', 'IIT JEE', 'MIT', 'IIT', 'the Institute for Advanced Study', 'the ACM Doctoral Dissertation Award', 'the ACM Infosys Foundation Award', 'Computer Science', 'the Executive Board', ""Princeton's Center for Computational Intractability""]"
Harry Edwards (sociologist),['1942-11-22'],[],"['the University of California, Berkeley']",[],"['the University of California, Berkeley']"
Govindarajan Padmanaban,['1938-03-20'],[],"['Govindarajan', 'the Indian Institute of Science']",[],"['Govindarajan', 'the Indian Institute of Science']"
M. Qasim Jan,['2022-01-30'],['Pakistan'],"['the National Centre of Excellence in Geology, University of Peshawar', 'the Pakistan Academy of Sciences', 'the Association of the Academies of Sciences', 'the Academy of Sciences for the Developing World']",[],"['the National Centre of Excellence in Geology, University of Peshawar', 'the Pakistan Academy of Sciences', 'the Association of the Academies of Sciences', 'the Academy of Sciences for the Developing World']"
John M. Ball,['2006-05-30'],['Edinburgh'],"['the University of Oxford', 'the International Mathematical Union', 'Oxford', 'the University of Cambridge and Sussex University', 'Oxford', 'Heriot-Watt University', 'Ball', 'Science', 'the Norwegian Academy of Science and Letters', 'the American Mathematical Society', 'the London Mathematical Society', 'the International Mathematical Union', 'IMU', 'the Executive Board of ICSU', 'Ball', 'ISI', 'Ball', 'Heriot-Watt University']",[],"['the University of Oxford', 'the International Mathematical Union', 'Oxford', 'the University of Cambridge and Sussex University', 'Oxford', 'Heriot-Watt University', 'Ball', 'Science', 'the Norwegian Academy of Science and Letters', 'the American Mathematical Society', 'the London Mathematical Society', 'the International Mathematical Union', 'IMU', 'the Executive Board of ICSU', 'Ball', 'ISI', 'Ball', 'Heriot-Watt University']"
Hal Foster (art critic),['1955-08-13'],[],"['Princeton University', 'Columbia University', 'the City University of New York', 'Cornell University', 'Princeton', 'Guggenheim Fellowship', 'Foster', 'Postmodern Culture']",[],"['Princeton University', 'Columbia University', 'the City University of New York', 'Cornell University', 'Princeton', 'Guggenheim Fellowship', 'Foster', 'Postmodern Culture']"
